energy_eV,mu,od,mass_absorption,beta,delta,i0,theta_deg,phi_deg
283.701780,3.25448767e+3,0.0346014329612469,3254.48766608754,0.000113181911644839,0.055729524605554,,55,0
283.750270,3.59347251e+3,0.0444084858488788,3593.47251152521,0.000124949493262029,0.0572049866017966,,55,0
283.800170,4.04802496e+3,0.0575589848360132,4048.02495634824,0.000140730096542224,0.058827548720268,,55,0
283.849730,4.45135107e+3,0.0692274726990788,4451.3510727742,0.000154724760115688,0.0606952197972141,,55,0
283.899810,5.03092071e+3,0.0859948007223206,5030.92071142981,0.000174839206375869,0.062891920104064,,55,0
283.949890,6.17881746e+3,0.11920420300007,6178.81745749482,0.000214694102939636,0.0652318426894545,,55,0
284.000850,7.76821207e+3,0.165186426720804,7768.21206762392,0.000269872038005944,0.0676922058650266,,55,0
284.050720,7.90354016e+3,0.169101556780332,7903.54015989627,0.00027452520563011,0.071596953042435,,55,0
284.099910,1.04315807e+4,0.242239419282579,10431.5806731918,0.000362272593724955,0.0761284775981743,,55,0
284.150330,1.45725614e+4,0.362040694915625,14572.5613907445,0.000505992622071119,0.0820679637712526,,55,0
284.200320,2.71222115e+4,0.725110265812345,27122.2115031405,0.000941579493077614,0.0866731943479865,,55,0
284.251070,5.79166670e+4,1.61601396855845,57916.667027705,0.00201028628001761,0.0807888123407335,,55,0
284.299990,9.04665107e+4,2.55770219666878,90466.5107079635,0.00313955034054151,0.0629533249752955,,55,0
284.352140,9.19764524e+4,2.60138579626875,91976.4524231993,0.00319136596522347,0.0520370059023334,,55,0
284.400820,1.10320906e+5,3.13210281457873,110320.906000056,0.00382722003202346,0.0370237944620562,,55,0
284.449860,1.14222901e+5,3.24499007439791,114222.900897009,0.00396190371575502,0.0216594389791653,,55,0
284.500580,1.05522081e+5,2.99326966301168,105522.080607268,0.00365945697290743,0.0114510687746243,,55,0
284.550900,8.97803531e+4,2.53785120869362,89780.3530857252,0.00311299054099405,0.00960479376082646,,55,0
284.601780,9.00818002e+4,2.54657226908695,90081.8001507464,0.00312288434020497,0.00406706405642914,,55,0
284.650360,7.50305119e+4,2.11112867499983,75030.5119472742,0.00260065431079498,0.0031780898752367,,55,0
284.701140,6.35826347e+4,1.77993411383481,63582.6347498432,0.00220346303759463,0.0052156599829962,,55,0
284.750850,5.34853321e+4,1.48781255563172,53485.332085006,0.00185321634978413,0.00891565495129566,,55,0
284.799840,4.64860585e+4,1.28531900029251,46486.0584657772,0.00161042105018947,0.0133283954805454,,55,0
284.849910,4.33413041e+4,1.19433920228859,43341.3040611992,0.00150121309232355,0.017164184501682,,55,0
284.901520,4.31593787e+4,1.18907598137706,43159.3786502076,0.00149464093668877,0.0193794972143477,,55,0
284.950650,4.26187091e+4,1.17343405817683,42618.7090954359,0.00147566268200178,0.0206121819476675,,55,0
284.999970,4.19425595e+4,1.15387260944993,41942.5595172494,0.00145199984750655,0.0214133017830158,,55,0
285.050080,4.04117058e+4,1.10958401213688,40411.7058054532,0.00139875763801774,0.0222544213264641,,55,0
285.100160,3.79771675e+4,1.03915123026966,37977.1675248331,0.00131426083129451,0.0236708086750061,,55,0
285.151150,3.58422879e+4,0.977387767559714,35842.2878519775,0.00124015809240962,0.0256029962983419,,55,0
285.199430,3.46645061e+4,0.943313771495563,34664.5060635447,0.00119920331027332,0.027485522472414,,55,0
285.250180,3.36864372e+4,0.915017600788278,33686.4372019213,0.00116516011386802,0.0295198961794688,,55,0
285.300480,3.28133401e+4,0.889758330686276,32813.3400676952,0.00113476097737354,0.0318268162200573,,55,0
285.350040,3.23787039e+4,0.877184022362945,32378.703891842,0.00111953577966516,0.0345954289161245,,55,0
285.400730,3.43349129e+4,0.933778426515166,34334.9129144702,0.00118696339579167,0.0371990372124971,,55,0
285.450440,3.91571801e+4,1.07328976518303,39157.1801253231,0.00135343420364508,0.0383228496125511,,55,0
285.500060,4.52227865e+4,1.24877171698705,45222.7864793384,0.00156281499780995,0.0372875957982943,,55,0
285.550540,4.47334935e+4,1.23461615285946,44733.4935416074,0.00154563266088401,0.0381304804975125,,55,0
285.600520,5.14974269e+4,1.43030116199683,51497.4269410648,0.00177902885372809,0.0378275877153515,,55,0
285.650020,5.91079938e+4,1.65047983077788,59107.9938321177,0.00204158946545493,0.034964512729494,,55,0
285.701840,6.38043646e+4,1.78634890393849,63804.3646269763,0.00220340234074727,0.0308890580414287,,55,0
285.751160,6.53823506e+4,1.83200106803576,65382.3505894995,0.00225750636529047,0.0272360387352796,,55,0
285.800420,6.44952706e+4,1.80633726376139,64495.2705640353,0.00222649365536322,0.0246101334413816,,55,0
285.850160,6.29796772e+4,1.76249015710365,62979.6771596184,0.00217379430181374,0.0229243834861094,,55,0
285.900760,6.14381136e+4,1.71789171715605,61438.1136088126,0.00212021068294371,0.0217970372472017,,55,0
285.949400,5.92330739e+4,1.65409847739905,59233.0738515308,0.00204376772503191,0.0215541451133106,,55,0
285.999630,5.83326523e+4,1.6280486927915,58332.6522559653,0.00201234624454543,0.0216450233071243,,55,0
286.050750,5.88250473e+4,1.6422940022064,58825.0472767277,0.00202897011209026,0.0213026744359625,,55,0
286.099060,5.88612270e+4,1.64334070656825,58861.2270465714,0.00202987519257214,0.0208951708378644,,55,0
286.146420,6.00957105e+4,1.67905511904844,60095.7105079344,0.00207210430475192,0.0199903053808716,,55,0
286.200290,6.11037344e+4,1.70821790956088,61103.7344421033,0.00210646447700502,0.0182631559974723,,55,0
286.249450,6.09287449e+4,1.70315534658418,60928.7448557474,0.00210007123484367,0.0163971597615598,,55,0
286.300140,5.86730751e+4,1.63789734710166,58673.0750718055,0.0020219655203143,0.014957295726393,,55,0
286.350590,5.42820112e+4,1.51086100295904,54282.0112142359,0.00187031304820699,0.0152414566002473,,55,0
286.400300,5.45920441e+4,1.51983045584434,54592.0440686339,0.00188066889963035,0.0148264661734221,,55,0
286.449130,5.14643717e+4,1.42934485090272,51464.3716519639,0.0017726199088638,0.0147573980518476,,55,0
286.501010,4.93782376e+4,1.36899163116614,49378.2376116478,0.0017004578973953,0.0150889781535003,,55,0
286.550110,4.68260595e+4,1.29515545097155,46826.0594580524,0.00161229121753794,0.0158004828333242,,55,0
286.599400,4.48191984e+4,1.23709564991307,44819.1983843479,0.00154292658955827,0.0169355342556688,,55,0
